subject,samples,qwk,fisher_z,recovered_kappa,pearson,p_value,auc,accuracy,kappa
Frans,42,0.38374717832957106,0.4044465703756258,0.3837471783295711,0.37887625096019917,0.013349037812469999,0.9102564102564102,0.8809523809523809,0.38596491228070173
Geschiedenis,15,0.8672566371681416,1.3219039661869283,0.8672566371681416,0.8749999999999999,1.9522613815941e-05,0.9375,0.9333333333333333,0.8672566371681416
Godsdienst,212,0.5402476300854187,0.6045052314884123,0.5402476300854187,0.5989714864565061,4.965879927441035e-22,0.8028212887148451,0.6839622641509434,0.3679245283018868
Informatica,24,0.3157894736842106,0.32696323370333213,0.3157894736842107,0.38202872398020793,0.06544162717440814,0.60625,0.8333333333333334,0.25
Muziek,18,0.8064516129032258,1.116796110753547,0.8064516129032258,0.9552008998760875,7.085976507979051e-10,1.0,1.0,1.0
Natuurwetenschappen,56,0.49073438572409056,0.5370272189432228,0.4907343857240906,0.5895758880365268,1.7439723121923661e-06,0.872093023255814,0.6428571428571429,0.34807916181606524
Nederlands,14,0.24096385542168675,0.24579713091905145,0.2409638554216867,0.3042903097250924,0.29017124025683916,0.7083333333333334,0.8571428571428571,0.0
Overig,771,0.5786718179088752,0.6604635455047466,0.5786718179088752,0.5950028850240363,5.132725887864861e-75,0.8504276685857984,0.7769130998702983,0.5380402976339771
Recht,523,0.6873628192601995,0.8429393879655165,0.6873628192601995,0.6994405427311603,4.934854380710263e-78,0.8949372673905536,0.8279158699808795,0.5994451630471781
_ALL_,1675,0.6203084395090938,0.7255062823267632,0.6203084395090936,0.6319033244795489,2.1632213104025597e-187,0.8655754929663672,0.7844776119402985,0.5567272554000213
